原始数据记录,Unnamed: 1,Unnamed: 2,数据处理结果,Unnamed: 4,Unnamed: 5,Unnamed: 6
序号,累计时间τ/min,总质量W1/g,湿物料质量G(G=W1-W2)/g,干基含水量X/kg·kg^(-1)干基,平均含水量Xbar/kg·kg^(-1)干基,干燥速率U/kg·m^(-2)·h^(-1)
,,,,,,
1,0,228.9,79.5,2.23170731707317,2.1930894308943,1.43939393939394
2,3,227,77.5999999999999,2.15447154471544,2.11382113821138,1.51515151515151
3,6,225,75.5999999999999,2.07317073170731,2.03252032520325,1.51515151515151
4,9,223,73.5999999999999,1.99186991869918,1.95121951219512,1.51515151515151
5,12,221,71.5999999999999,1.91056910569105,1.86788617886178,1.59090909090908
6,15,218.9,69.5,1.82520325203252,1.78861788617886,1.36363636363638
7,18,217.1,67.6999999999999,1.7520325203252,1.71138211382113,1.51515151515151
8,21,215.1,65.6999999999999,1.67073170731707,1.630081300813,1.51515151515149
9,24,213.1,63.6999999999999,1.58943089430894,1.55081300813008,1.43939393939395
10,27,211.2,61.7999999999999,1.51219512195121,1.47357723577235,1.43939393939392
11,30,209.3,59.9,1.43495934959349,1.39634146341463,1.43939393939394
12,33,207.4,58,1.35772357723577,1.3170731707317,1.51515151515151
13,36,205.4,56,1.27642276422764,1.24186991869918,1.28787878787879
14,39,203.7,54.2999999999999,1.20731707317073,1.16463414634146,1.59090909090908
15,42,201.6,52.1999999999999,1.12195121951219,1.08536585365853,1.36363636363635
16,45,199.8,50.4,1.04878048780487,1.0040650406504,1.66666666666667
17,48,197.6,48.1999999999999,0.959349593495934,0.924796747967479,1.28787878787877
18,51,195.9,46.5,0.890243902439024,0.845528455284552,1.66666666666669
19,54,193.7,44.2999999999999,0.80081300813008,0.764227642276422,1.36363636363634
20,57,191.9,42.5,0.727642276422764,0.691056910569105,1.36363636363638
21,60,190.1,40.6999999999999,0.654471544715446,0.615853658536585,1.43939393939392
22,63,188.2,38.7999999999999,0.577235772357723,0.540650406504065,1.36363636363635
23,66,186.4,37,0.504065040650406,0.471544715447154,1.2121212121212
24,69,184.8,35.4,0.439024390243902,0.404471544715446,1.28787878787881
25,72,183.1,33.6999999999999,0.369918699186991,0.347560975609755,0.833333333333324
26,75,182,32.5999999999999,0.325203252032519,0.304878048780487,0.757575757575757
27,78,181,31.5999999999999,0.284552845528454,0.268292682926828,0.606060606060601
28,81,180.2,30.7999999999999,0.252032520325203,0.235772357723577,0.606060606060604
29,84,179.4,30,0.219512195121951,0.205284552845528,0.530303030303034
30,87,178.7,29.2999999999999,0.191056910569105,0.176829268292682,0.530303030303034
31,90,178,28.5999999999999,0.162601626016259,0.15040650406504,0.454545454545446
32,93,177.4,28,0.138211382113821,0.126016260162601,0.454545454545445
33,96,176.8,27.4,0.113821138211382,0.103658536585366,0.37878787878788
34,99,176.3,26.9,0.0934959349593498,0.0792682926829269,0.530303030303034
35,102,175.6,26.1999999999999,0.065040650406504,0.0569105691056908,0.303030303030311
36,105,175.2,25.7999999999999,0.0487804878048776,0.0426829268292679,0.227272727272723
37,108,174.9,25.5,0.0365853658536583,注：拟合时采相邻数据的平均值，少一个数据点,
