原始数据记录,Unnamed: 1,Unnamed: 2,数据处理结果,Unnamed: 4,Unnamed: 5,Unnamed: 6
序号,累计时间τ/min,总质量W1/g,湿物料质量G(G=W1-W2)/g,干基含水量X/kg·kg^(-1)干基,平均含水量Xbar/kg·kg^(-1)干基,干燥速率U/kg·m^(-2)·h^(-1)
,,,,,,
1,,,,,,
2,,,,,,
3,,,,,,
4,,,,,,
5,,,,,,
6,,,,,,
7,,,,,,
8,,,,,,
9,,,,,,
10,,,,,,
11,,,,,,
12,,,,,,
13,,,,,,
14,,,,,,
15,,,,,,
16,,,,,,
17,,,,,,
18,,,,,,
19,,,,,,
20,,,,,,
21,,,,,,
22,,,,,,
23,,,,,,
24,,,,,,
25,,,,,,
26,,,,,,
27,,,,,,
28,,,,,,
29,,,,,,
30,,,,,,
31,,,,,,
32,,,,,,
33,,,,,,
34,,,,,,
35,,,,,,
36,,,,,,
37,,,,,注：拟合时采相邻数据的平均值，少一个数据点,
