序号,Q/(L/h),直管阻力压降,Unnamed: 3,温度t/℃,流速u/（m/s）,Re,λ
,,kPa,mmH2O,,,,
1.0,1000.0,59,—,28.1,5.52621330180192,51526.2835578537,0.0182469584077705
2.0,900.0,49.4,—,28.0,4.97359197162172,46373.6552020683,0.0188616812166534
3.0,800.0,39.9,—,28.0,4.42097064144153,41221.0268462829,0.0192810815802448
4.0,700.0,31.2,—,27.8,3.86834931126134,36068.3984904976,0.0196923245355393
5.0,600.0,22.7,—,27.8,3.31572798108115,30915.7701347122,0.0195012220271371
6.0,500.0,16.7,—,27.6,2.76310665090096,25763.1417789268,0.0206592681633741
7.0,400.0,10.8,—,27.6,2.21048532072076,20610.5134231414,0.0208757575004155
8.0,300.0,6.3,—,27.5,1.65786399054057,15457.8850673561,0.0216489337041345
9.0,200.0,2,—,27.2,1.10524266036038,10305.2567115707,0.0154635240743818
10.0,100.0,—,121,27.3,0.552621330180192,5152.62835578536,0.0365822279190833
11.0,90.0,—,107,27.2,0.497359197162173,4637.36552020683,0.0399377449988971
12.0,80.0,—,89,27.0,0.442097064144153,4122.10268462829,0.0420431080165084
13.0,70.0,—,65,26.8,0.386834931126134,3606.83984904975,0.0401053266105652
14.0,60.0,—,51,26.8,0.331572798108115,3091.57701347122,0.0428304321366677
15.0,50.0,—,38,26.8,0.276310665090096,2576.31417789268,0.04595453424546
16.0,40.0,—,22,26.8,0.221048532072076,2061.05134231414,0.0415707135444128
17.0,30.0,—,14,26.9,0.165786399054057,1545.78850673561,0.0470294941108508
18.0,20.0,—,9,27.0,0.110524266036038,1030.52567115707,0.0680248039817664
19.0,10.0,—,4,27.0,0.0552621330180192,515.262835578537,0.120932984856473
