序号,水流量,入口表压,出口表压,电机功率,温度,H / m,N / kW,η / %
1,0.0,0.0,0.16,0.41,28.4,16.6103232595369,245.999999999999,0.0
2,0.81,0.0,0.16,0.44,28.4,16.6103232595369,264.0,0.138278350491477
3,1.62,0.0,0.15,0.48,28.6,15.5865530558158,288.0,0.237885309234375
4,2.38,0.0,0.14,0.53,28.7,14.5627828520947,318.0,0.295725806276904
5,3.23,-0.002,0.135,0.57,28.7,14.2556517909784,341.999999999999,0.36530743278858
6,4.2,-0.006,0.12,0.63,28.7,13.1295045668853,378.0,0.395822833055555
7,5.0,-0.01,0.11,0.67,29.2,12.5152424446526,402.0,0.422355575974295
8,5.63,-0.014,0.1,0.7,29.3,11.90098032242,420.0,0.432849435339484
9,6.462,0.0182,0.08,0.73,29.3,6.55689985899612,438.0,0.262474071343493
10,7.2,-0.024,0.04,0.75,29.5,6.78212930381476,449.999999999999,0.294429324044444
11,7.99,-0.03,0.024,0.77,29.7,5.7583591000937,461.999999999999,0.270208223485389
12,8.8,-0.036,0.01,0.8,29.7,4.93934293711686,480.0,0.245700267134259
13,9.6,-0.044,0.0,0.77,30.1,4.73458889637264,461.999999999999,0.26693563007215
